FULL NAME,BORN,AGE,DIED,PHYSICAL,POSITION
Llewellyn Simpkin Hook,"Thursday, 4 May 1905 in Puni, New Zealand",,"Saturday, 4 August 1979 in Auckland",63kg,Three-quarter
Andrew Keith Hore,"Wednesday, 13 September 1978 in Dunedin, New Zealand",40,,115kg,Hooker
John Alan Hooper,"Thursday, 20 November 1913 in Christchurch, New Zealand",,"Wednesday, 21 April 1976 in Sydney, Australia",70kg,Second five-eighth
Aaron Remana Hopa,"Saturday, 13 November 1971 in Hamilton, New Zealand",,"Tuesday, 8 December 1998 in Sea, off Coromandal Peninsula",98kg,Loose Forward
Alister Ernest Hopkinson,"Friday, 30 May 1941 in Mosgiel, New Zealand",,"Sunday, 17 January 1999 in Christchurch",103kg,Prop
John Hore,"Friday, 9 August 1907 in Dunedin, New Zealand",,"Saturday, 7 July 1979 in Dunedin",82kg,Hooker and Prop
Ronald Hugh Horsley,"Monday, 4 July 1932 in Wellington, New Zealand",,"Thursday, 20 December 2007 in Rotorua",101kg,Lock
John Hotop,"Saturday, 7 December 1929 in Alexandra, New Zealand",,"Sunday, 30 August 2015 in Hamilton",75kg,First five-eighth
Shane Paul Howarth,"Monday, 8 July 1968 in Auckland, New Zealand",50,,82kg,Fullback
James Howden,"Saturday, 25 August 1900 in Glasgow, Scotland",,"Sunday, 12 March 1978 in Waimate",,Hooker
Douglas Charles Howlett,"Thursday, 21 September 1978 in Auckland, New Zealand",40,,93kg,Wing
Arthur Maitland Hughes,"Saturday, 11 October 1924 in Auckland, New Zealand",,"Monday, 20 June 2005 in North Shore",87kg,Hooker
Daniel John Hughes,"Sunday, 19 September 1869 in Patea, New Zealand",,"Sunday, 11 February 1951 in Hawera",,Hooker
Edward Hughes,"Tuesday, 26 April 1881 in Invercargill, New Zealand",,"Tuesday, 1 May 1928 in New South Wales",76kg,Hooker
Laurence Clifford Hullena,"Tuesday, 24 August 1965 in Masterton, New Zealand",53,,105kg,Prop
George William Humphreys,"Tuesday, 15 March 1870 in Wolverhampton, England",,"Thursday, 11 May 1933 in Rotorua",,Loose Forward
Arthur Larwill Humphries,"Sunday, 15 February 1874 in New Plymouth, New Zealand",,"Monday, 13 April 1953 in Wanganui",,Halfback
Dillon Hunt,"Thursday, 23 February 1995 in Takapuna, New Zealand",23,,102kg,Flanker
Bruce Anthony Hunter,"Saturday, 16 September 1950 in Oamaru, New Zealand",68,,70kg,Wing three-quarter
James Hunter,"Thursday, 6 March 1879 in Hawera, New Zealand",,"Friday, 14 December 1962 in Wanganui",73kg,Second five-eighth
Ian Archibald Hurst,"Monday, 27 August 1951 in Oamaru, New Zealand",67,,86kg,Second five-eighth and centre three-quarter
Namulauulu Alama Ieremia,"Tuesday, 27 October 1970 in Motootua, Samoa",48,,100kg,Second five-eighth and centre three-quarter
Karl Donald Ifwersen,"Friday, 6 January 1893 in Auckland, New Zealand",,"Friday, 19 May 1967 in Auckland",76kg,Second five-eighth
Craig Ross Innes,"Wednesday, 10 September 1969 in New Plymouth, New Zealand",49,,82kg,Centre three-quarter and wing three-quarter
Gordon Donald Innes,"Thursday, 8 September 1910 in Dunedin, New Zealand",,"Friday, 6 November 1992 in Christchurch",82kg,Second five-eighth
Akira Latrell Ioane,"Friday, 16 June 1995",23,,113kg,Loose Forwad
Rieko Edward Ioane,"Tuesday, 18 March 1997 in Auckland, New Zealand",21,,102kg,Wing
Ian Bruce Irvine,"Wednesday, 6 March 1929 in Carterton, New Zealand",,"Tuesday, 5 November 2013 in Whangarei",,Hooker
John Gilbert Irvine,"Sunday, 1 July 1888 in Dunedin, New Zealand",,"Saturday, 10 June 1939 in Queenstown",,Lock
William Richard Irvine,"Friday, 2 December 1898 in Auckland, New Zealand",,"Saturday, 26 April 1952 in Whangarei",83kg,Hooker
Mark William Irwin,"Sunday, 10 February 1935 in Gisborne, New Zealand",,"Saturday, 30 June 2018 in Rotorua",103kg,Prop
Frederick Elder Birbeck Ivimey,"Sunday, 28 March 1880 in London, England",,"Wednesday, 6 December 1961 in Christchurch",,Loose Forward
Christopher Raymond Jack,"Tuesday, 5 September 1978 in Christchurch, New Zealand",40,,115kg,Lock
Everard Stanley Jackson,"Monday, 12 January 1914 in Hastings, New Zealand",,"Saturday, 20 September 1975 in Hastings",83kg,Prop
Hohepa Jacob,"Friday, 16 November 1894 in Levin, New Zealand",,"Monday, 30 May 1955 in Palmerston North",,Wing forward and loose forward
John Phillip le Grande Jacob,"Saturday, 19 May 1877 in Marton, New Zealand",,"Wednesday, 3 November 1909 in Stratford",,Wing three-quarter
John Lyndon Jaffray,"Monday, 17 April 1950 in Dunedin, New Zealand",68,,81kg,Five-eighth
Mervyn William Rutherford Jaffray,"Tuesday, 18 January 1949 in Dunedin, New Zealand",70,,90kg,Flanker and Number 8
Cory Steven Jane,"Tuesday, 8 February 1983 in Wellington, New Zealand",36,,91kg,Wing/Fullback
Ronald Alexander Jarden,"Saturday, 14 December 1929 in Lower Hutt, New Zealand",,"Friday, 18 February 1977 in Lower Hutt",81kg,Wing three-quarter
Andrew Charles Reeves Jefferd,"Saturday, 13 June 1953 in Gisborne, New Zealand",65,,83kg,Second five-eighth
Arthur Grahn Jennings,"Saturday, 15 June 1940 in Lautoka, Fiji",78,,95kg,Lock
Francis Mahon Jervis,"Monday, 26 December 1870 in Auckland, New Zealand",,"Saturday, 20 December 1952 in Lower Hutt",,Wing three-quarter
Evan Morgan Jessep,"Tuesday, 11 October 1904 in Sydney, Australia",,"Monday, 10 January 1983 in Sydney, Australia",89kg,Hooker and Prop
Peter Arthur Johns,"Thursday, 16 March 1944 in New Plymouth, New Zealand",74,,83kg,Five-eighth and Fullback
Launcelot Matthew Johnson,"Monday, 9 August 1897 in Lumsden, New Zealand",,"Tuesday, 11 January 1983 in Christchurch",74kg,Five-eighth
David Johnston,"Tuesday, 24 March 1903 in Okaiawa, New Zealand",,"Tuesday, 5 July 1938 in New Plymouth",68kg,Five-eighth
William Johnston,"Tuesday, 13 September 1881 in Dunedin, New Zealand",,"Tuesday, 9 January 1951 in Sydney, Australia",85kg,Loose Forward
Bradley Ronald Johnstone,"Sunday, 30 July 1950 in Auckland, New Zealand",68,,102kg,Prop
Campbell Richard Johnstone,"Monday, 7 January 1980 in Waipukurau, New Zealand",39,,110kg,Prop
Peter Johnstone,"Wednesday, 9 August 1922 in Mosgiel, New Zealand",,"Saturday, 18 October 1997 in Wanaka",86kg,Flanker and Number 8
Ian Donald Jones,"Monday, 17 April 1967 in Whangarei, New Zealand",51,,104kg,Lock
Michael Niko Jones,"Thursday, 8 April 1965 in Auckland, New Zealand",53,,98kg,Flanker and Number 8
Murray Gordon Jones,"Monday, 26 October 1942 in Warkworth, New Zealand",,"Wednesday, 12 February 1975 in Auckland",95kg,Prop
Peter Frederick Hilton Jones,"Thursday, 24 March 1932 in Kaitaia, New Zealand",,"Tuesday, 7 June 1994 in Waipapakauri",105kg,Flanker and Number 8
Howard Thornton Joseph,"Thursday, 25 August 1949 in Christchurch, New Zealand",69,,81kg,Centre three-quarter
James Whitinui Joseph,"Friday, 21 November 1969 in Blenheim, New Zealand",49,,105kg,Loose forward and lock
Richard David Kahui,"Sunday, 9 June 1985 in Tokoroa, New Zealand",33,,101kg,Utility back
Jerome Kaino,"Wednesday, 6 April 1983 in Tutuila, American Samoa",35,,105kg,Loose forward
Gregory Norman Kane,"Sunday, 12 October 1952 in Tauranga, New Zealand",66,,83kg,Three-quarter and second five-eighth
Joseph Francis Karam,"Wednesday, 21 November 1951 in Taumarunui, New Zealand",67,,82kg,Fullback
Thomas Katene,"Wednesday, 14 August 1929 in Okaiawa, New Zealand",,"Saturday, 6 June 1992 in Auckland",89kg,Wing three-quarter
Kieran James Keane,"Tuesday, 9 February 1954 in Christchurch, New Zealand",65,,75kg,Second five-eighth
James Charles Kearney,"Sunday, 4 April 1920 in Naseby, New Zealand",,"Tuesday, 1 September 1998 in Ranfurly",76kg,First five-eighth
Byron Terrance Kelleher,"Friday, 3 December 1976 in Dunedin, New Zealand",42,,95kg,Halfback
John Wallace Kelly,"Tuesday, 7 December 1926 in Ashburton, New Zealand",,"Monday, 29 April 2002 in Auckland",84kg,Fullback and Wing
Gerald Francis Kember,"Thursday, 15 November 1945 in Wellington, New Zealand",73,,86kg,Fullback and Second five-eighth
Dean Julian Kenny,"Monday, 22 May 1961 in Woodville, New Zealand",57,,79kg,Halfback
Alexander Kerr,"Wednesday, 3 May 1871 in Christchurch, New Zealand",,"Thursday, 18 June 1936 in Christchurch",90kg,Loose Forward
Tawera Narada James Kerr-Barlow,"Wednesday, 15 August 1990 in Melbourne, Australia",28,,89kg,Halfback
Rodney Clive Ketels,"Thursday, 11 November 1954 in Papakura, New Zealand",64,,105kg,Prop
Henry Arthur Douglas Kiernan,"Monday, 24 July 1876 in Wanganui, New Zealand",,"Wednesday, 15 January 1947 in Otahuhu",,Halfback
Francis David Kilby,"Tuesday, 24 April 1906 in Invercargill, New Zealand",,"Tuesday, 3 September 1985 in Wellington",69kg,Halfback
Brian Alexander Killeen,"Thursday, 13 April 1911 in Wellington, New Zealand",,"Tuesday, 9 March 1993 in Auckland",77kg,Second five-eighth and three-quarter
Regan Matthew King,"Thursday, 2 October 1980 in Cambridge, New Zealand",38,,87kg,Centre
Ronald Russell King,"Thursday, 19 August 1909 in Waiuta, New Zealand",,"Sunday, 10 January 1988 in Greymouth",90kg,Lock
Charles Napoleon Kingstone,"Tuesday, 2 July 1895 in Auckland, New Zealand",,"Friday, 6 May 1960 in New Plymouth",70kg,Fullback
David Edward Kirk,"Wednesday, 5 October 1960 in Wellington, New Zealand",58,,73kg,Halfback
Alexander Kirkpatrick,"Tuesday, 4 October 1898 in Ulster, Ireland",,"Wednesday, 25 August 1971 in Hastings",75kg,Hooker
Ian Andrew Kirkpatrick,"Friday, 24 May 1946 in Gisborne, New Zealand",72,,102kg,Flanker
Earle Weston Kirton,"Sunday, 29 December 1940 in Taumarunui, New Zealand",78,,82kg,First five-eighth
John James Kirwan,"Wednesday, 16 December 1964 in Auckland, New Zealand",54,,92kg,Wing three-quarter
Alfred Louis Kivell,"Monday, 12 April 1897 in Tararu, New Zealand",,"Friday, 13 February 1987 in Christchurch",83kg,Loose Forward
Arthur Knight,"Friday, 26 January 1906 in Auckland, New Zealand",,"Thursday, 26 April 1990 in Auckland",95kg,Loose Forward
Gary Albert Knight,"Sunday, 26 August 1951 in Wellington, New Zealand",67,,107kg,Prop
Lawrence Alfred George Knight,"Tuesday, 16 July 1901 in Auckland, New Zealand",,"Monday, 24 December 1973 in Auckland",86kg,Loose Forward
Lawrence Gibb Knight,"Saturday, 24 September 1949 in Auckland, New Zealand",69,,101kg,Lock and loose forward
Michael Orton Knight,"Sunday, 20 May 1945 in Auckland, New Zealand",73,,84kg,Wing three-quarter
Tohoa Tauroa Koteka,"Sunday, 30 September 1956 in Tokoroa, New Zealand",62,,108kg,Prop
Anthony John Kreft,"Tuesday, 27 March 1945 in Milton, New Zealand",73,,98kg,Prop
Joshua Adrian Kronfeld,"Sunday, 20 June 1971 in Hastings, New Zealand",47,,94kg,Flanker
Robert Kururangi,"Thursday, 4 July 1957 in Gisborne, New Zealand",61,,83kg,Wing three-quarter
Christopher Robert Laidlaw,"Tuesday, 16 November 1943 in Dunedin, New Zealand",75,,78kg,Halfback
Kevin Francis Laidlaw,"Thursday, 9 August 1934 in Nightcaps, New Zealand",84,,77kg,Centre three-quarter
Patrick Richard Lam,"Sunday, 29 September 1968 in Auckland, New Zealand",50,,95kg,Loose Forward
Kent King Lambert,"Sunday, 23 March 1952 in Wairoa, New Zealand",66,,102kg,Prop
James Taylor Lambie,"Saturday, 9 April 1870 in Christchurch, New Zealand",,"Saturday, 15 April 1905 in Manaia",,Forward
Arthur Lambourn,"Saturday, 1 January 1910 in Maryborough, Australia",,"Friday, 24 September 1999 in Lower Hutt",83kg,Hooker and Prop
Blair Peter Larsen,"Monday, 20 January 1969 in Takapuna, New Zealand",50,,107kg,Lock and Flanker
Tanerau Dylan Latimer,"Tuesday, 6 May 1986 in Te Puke, New Zealand",32,,101kg,Flanker
Sione Tu'itupu Heimoana Lauaki,"Monday, 22 June 1981 in Ha'apai, Tonga",,"Sunday, 12 February 2017 in Auckland",115kg,Loose Forward
Casey Daniel Eti Laulala,"Monday, 3 May 1982 in Moto'otua, Samoa",36,,100kg,Centre
Nepo Eti Laulala,"Wednesday, 6 November 1991 in Moto'otua, Samoa",27,,116kg,Prop
Koinonia Halafungani Laumape,"Thursday, 22 April 1993 in Palmerston North, New Zealand",25,,103kg,Second five-eighth
Arthur Douglas Law,"Sunday, 8 May 1904 in Palmerston North, New Zealand",,"Monday, 4 September 1961 in Dannevirke",81kg,Wing three-quarter
Gordon Pirie Lawson,"Friday, 15 September 1899 in Timaru, New Zealand",,"Friday, 13 September 1985 in Timaru",73kg,First five-eighth
Jules Mathew Le Lievre,"Thursday, 17 August 1933 in Akaroa, New Zealand",,"Sunday, 17 January 2016 in Christchurch",94kg,Prop
John Gage Lecky,"Wednesday, 4 November 1863 in Auckland, New Zealand",,"Friday, 6 April 1917 in Auckland",,Forward
Daniel David Lee,"Monday, 1 March 1976 in Hastings, New Zealand",42,,80kg,Halfback
John Leeson,"Monday, 15 November 1909 in Morrinsville, New Zealand",,"Friday, 11 March 1960 in Morrinsville",82kg,Prop
Robert Noel Lendrum,"Monday, 22 March 1948 in Waiuku, New Zealand",70,,81kg,Fullback
Brendon Grant Leonard,"Tuesday, 16 April 1985 in Morrinsville, New Zealand",33,,91kg,Halfback
Andrew Roy Leslie,"Friday, 10 November 1944 in Lower Hutt, New Zealand",74,,90kg,Number 8
Howard Joseph Levien,"Thursday, 6 September 1934 in Taumarunui, New Zealand",,"Sunday, 28 December 2008 in Paeroa",78kg,Second five-eighth and three-quarter
Eric Tiki Leys,"Saturday, 25 May 1907 in Wellington, New Zealand",,"Saturday, 21 January 1989 in Gisborne",72kg,Halfback
Anton Russell Lienert-Brown,"Saturday, 15 April 1995 in Christchurch, New Zealand",23,,96kg,Centre
Herbert Theodore Lilburne,"Monday, 16 March 1908 in Burnham, New Zealand",,"Monday, 12 July 1976 in Dunedin",77kg,Five-eighth and Fullback
David Frederick Lindsay,"Sunday, 9 December 1906 in Studholm, New Zealand",,"Tuesday, 7 March 1978 in Timaru",85kg,Three-quarter
William George Lindsay,"Monday, 29 December 1879 in Waikouaiti, New Zealand",,"Saturday, 15 May 1965 in Dunedin",,Hooker
Terence Raymond Lineen,"Sunday, 5 January 1936 in Auckland, New Zealand",83,,79kg,Second five-eighth and centre three-quarter
Thomas Norman Lister,"Wednesday, 27 October 1943 in Ashburton, New Zealand",,"Sunday, 23 July 2017 in Timaru",93kg,Flanker
Paul Francis Little,"Friday, 14 September 1934 in Auckland, New Zealand",,"Saturday, 7 August 1993 in Auckland",78kg,Centre three-quarter
Walter Kenneth Little,"Tuesday, 14 October 1969 in Tokoroa, New Zealand",49,,76kg,Five-eighth and Centre three-quarter
Colin James Loader,"Tuesday, 10 March 1931 in Dannevirke, New Zealand",87,,71kg,Second five-eighth and centre three-quarter
Brian James Lochore,"Tuesday, 3 September 1940 in Masterton, New Zealand",78,,95kg,Number 8 and Lock
Terence McClatchey Lockington,"Wednesday, 26 March 1913 in Waihi, New Zealand",,"Saturday, 8 September 2001 in Auckland",89kg,Flanker
Richard Wyllie Loe,"Wednesday, 6 April 1960 in Christchurch, New Zealand",58,,116kg,Prop
Albert Robert Lomas,"Thursday, 15 November 1894 in Thames, New Zealand",,"Monday, 24 March 1975 in Thames",89kg,Hooker
Tyrel Lomax,"Saturday, 1 June 1996 in Canberra, Australia",22,,127kg,Prop
Jonah Tali Lomu,"Monday, 12 May 1975 in Auckland, New Zealand",,"Wednesday, 18 November 2015 in Auckland, New Zealand",119kg,Wing
John Kelman Loveday,"Sunday, 1 May 1949 in Palmerston North, New Zealand",69,,112kg,Lock
David Steven Loveridge,"Tuesday, 22 April 1952 in Stratford, New Zealand",66,,73kg,Halfback
George Loveridge,"Wednesday, 15 October 1890 in New Plymouth, New Zealand",,"Saturday, 28 November 1970 in New Plymouth",,Wing three-quarter
Keith Ross Lowen,"Sunday, 14 July 1974 in Huntly, New Zealand",44,,102kg,Second five-eighth
Dolph Steven Luatua,"Thursday, 4 April 1991 in Auckland, New Zealand",27,,112kg,Lock/Loose Forward
Frederick William Lucas,"Thursday, 30 January 1902 in Auckland, New Zealand",,"Tuesday, 17 September 1957 in Auckland",73kg,Three-quarter
William Albert Lunn,"Friday, 17 September 1926 in Alexandra, New Zealand",,"Sunday, 22 December 1996 in Alexandra",90kg,Flanker
Thomas William Lynch,"Saturday, 26 March 1892 in Milton, New Zealand",,"Saturday, 6 May 1950 in Clyde",,Wing three-quarter
Thomas William Lynch,"Wednesday, 20 July 1927 in Naseby, New Zealand",,"Friday, 29 December 2006 in Geraldine",84kg,Second five-eighth
George Maber,"Tuesday, 2 November 1869 in Kaiapoi, New Zealand",,"Monday, 17 December 1894 in Coolgardie, Western Australia",,Forward
Angus James Macdonald,"Monday, 12 January 1981 in Whangarei, New Zealand",38,,107kg,Blindside Flanker
Hamish Hugh Macdonald,"Saturday, 11 January 1947 in Rawene, New Zealand",72,,102kg,Lock
Leon Raymond MacDonald,"Wednesday, 21 December 1977 in Blenheim, New Zealand",41,,96kg,Fullback
Ian Neven MacEwan,"Tuesday, 1 May 1934 in Auckland, New Zealand",84,,105kg,Lock and Number 8
James Douglas Mackay,"Thursday, 21 September 1905 in New Plymouth, New Zealand",,"Tuesday, 1 January 1985",,Wing three-quarter
Robert Henry Craig Mackenzie,"Wednesday, 17 February 1904 in Wellington, New Zealand",,"Monday, 19 July 1993 in Wellington",,First five-eighth
Roderick McCulloch MacKenzie,"Thursday, 16 September 1909 in Rakaia, New Zealand",,"Friday, 24 March 2000 in Auckland",95kg,Flanker and Lock
Charles Nicholson Mackintosh,"Sunday, 6 June 1869 in Timaru, New Zealand",,"Saturday, 14 September 1918 in Rio de Janerio, Brazil",,Forward
Jamie Lachlan Mackintosh,"Wednesday, 20 February 1985 in Invercargill, New Zealand",33,,130kg,Prop
William Henry Mackrell,"Wednesday, 20 July 1881 in Milton, Australia",,"Sunday, 15 July 1917 in Auckland",79kg,Hooker
John Victor Macky,"Saturday, 3 September 1887 in Auckland, New Zealand",,"Saturday, 15 September 1951 in Auckland",,Wing three-quarter
Donald Gregory Macpherson,"Sunday, 23 July 1882 in Waimate, New Zealand",,"Monday, 26 November 1956 in Waimate",,Wing three-quarter
Gordon Macpherson,"Tuesday, 9 October 1962 in Gisborne, New Zealand",56,,102kg,Lock
Ian Robert MacRae,"Tuesday, 6 April 1943 in Christchurch, New Zealand",75,,86kg,Second five-eighth and centre three-quarter
James Richard Maguire,"Saturday, 6 February 1886 in Auckland, New Zealand",,"Thursday, 1 December 1966 in Lower Hutt",,Hooker
Atholstan Mahoney,"Wednesday, 15 July 1908 in Woodville, New Zealand",,"Friday, 13 July 1979 in Pahiatua",91kg,Loose Forward
Laurence William Mains,"Saturday, 16 February 1946 in Dunedin, New Zealand",73,,78kg,Fullback
John Major,"Thursday, 8 August 1940 in Whakatane, New Zealand",78,,88kg,Hooker
Isitolo Maka,"Sunday, 25 May 1975 in Longoteme, Tonga",43,,122kg,Number 8
Thomas Simon Maling,"Tuesday, 3 June 1975 in Christchurch, New Zealand",43,,110kg,Lock
John Eaton Manchester,"Thursday, 23 January 1908 in Waimate, New Zealand",,"Tuesday, 6 September 1983 in Dunedin",91kg,Flanker
Simon James Mannix,"Tuesday, 10 August 1971 in Lower Hutt, New Zealand",47,,,First five-eighth
Paul Francis Markham,"Friday, 27 November 1891 in Timaru, New Zealand",,"Tuesday, 11 August 1953 in Auckland",,Second five-eighth
Justin Warren Marshall,"Sunday, 5 August 1973 in Gore, New Zealand",45,,94kg,Halfback
Lelia Tony Corona Masaga,"Saturday, 30 August 1986 in Wellington, New Zealand",32,,94kg,Wing
Matemini Christopher Masoe,"Tuesday, 15 May 1979 in Savai'i, Samoa",39,,106kg,Loose Forward
David Frank Mason,"Wednesday, 21 November 1923 in Wellington, New Zealand",,"Friday, 3 July 1981 in Johannesburg, South Africa",74kg,Wing three-quarter
Frederick Harold Masters,"Friday, 20 December 1895 in Brunnerton, New Zealand",,"Tuesday, 27 May 1980 in Sydney, Australia",,Lock
Robin Read Masters,"Friday, 19 October 1900 in Picton, New Zealand",,"Thursday, 24 August 1967 in Christchurch",93kg,Lock
Hawea Karepa Mataira,"Saturday, 3 December 1910 in Nuhaka, New Zealand",,"Thursday, 15 November 1979 in Wairoa",92kg,Loose Forward
Jeffrey David Matheson,"Tuesday, 30 March 1948 in Palmerston, New Zealand",70,,99kg,Prop
Albert Samuel Mathewson,"Friday, 13 December 1985 in Hastings, New Zealand",33,,91kg,Halfback
Robert George Mathieson,"Wednesday, 11 January 1899 in Chatham Islands, New Zealand",,"Saturday, 16 April 1966 in Oamaru",,First five-eighth and Halfback
John Tabaiwalu Fakavale Matson,"Monday, 14 May 1973 in Nausori Highlands, Fiji",45,,104kg,Centre three-quarter
Herman Alfred Mattson,"Sunday, 4 November 1900 in Auckland, New Zealand",,"Sunday, 6 July 1980 in Auckland",70kg,Second five-eighth and three-quarter
Aaron Joseph Douglas Mauger,"Saturday, 29 November 1980 in Christchurch, New Zealand",38,,93kg,Second five-eighth
Nathan Keith Mauger,"Saturday, 8 April 1978 in Christchurch, New Zealand",40,,98kg,Centre
Donald Stanfield Max,"Wednesday, 7 March 1906 in Nelson, New Zealand",,"Saturday, 4 March 1972 in Brightwater",99kg,Loose forward and lock
Norman Michael Clifford Maxwell,"Friday, 5 March 1976 in Rawene, New Zealand",42,,106kg,Lock
Mark Andrew Mayerhofler,"Sunday, 8 October 1972 in Auckland, New Zealand",46,,98kg,Second five-eighth and centre three-quarter
Charles Luke McAlister,"Sunday, 28 August 1983 in Waitara, New Zealand",35,,95kg,Inside Back
Francis Steven McAtamney,"Tuesday, 15 May 1934 in Middlemarch, New Zealand",84,,93kg,Prop
Bernard Jospeh McCahill,"Sunday, 28 June 1964 in Auckland, New Zealand",54,,78kg,Second five-eighth and centre three-quarter
Patrick McCarthy,"Wednesday, 28 June 1893 in Tomona, New Zealand",,"Thursday, 1 July 1976 in Brisbane, Australia",,Halfback
Terence Michael McCashin,"Tuesday, 18 January 1944 in Palmerston North, New Zealand",,"Tuesday, 31 October 2017 in Nelson",87kg,Hooker
Richard Hugh McCaw,"Wednesday, 31 December 1980 in Oamaru, New Zealand",38,,108kg,Loose forward
William Alexander McCaw,"Friday, 26 August 1927 in Gore, New Zealand",91,,90kg,Number 8 and Flanker
Brian Verdon McCleary,"Sunday, 17 January 1897 in Dunedin, New Zealand",,"Sunday, 2 July 1978 in Martinborough",83kg,Hooker
William Graham McClymont,"Thursday, 22 June 1905 in Lawrence, New Zealand",,"Thursday, 21 May 1970 in Waitati",,Wing three-quarter
Michael John McCool,"Saturday, 15 September 1951 in Hastings, New Zealand",67,,108kg,Lock
Archibald George McCormick,"Thursday, 23 February 1899 in Christchurch, New Zealand",,"Saturday, 8 February 1969 in Christchurch",89kg,Hooker
James McCormick,"Monday, 15 October 1923 in Waipukurau, New Zealand",,"Friday, 8 December 2006 in Waipukurau",89kg,Hooker
William Fergus McCormick,"Monday, 24 April 1939 in Ashburton, New Zealand",,"Tuesday, 10 April 2018 in Christchurch",83kg,Fullback
John Francis McCullough,"Wednesday, 8 January 1936 in Stratford, New Zealand",83,,75kg,First five-eighth
Alexander McDonald,"Monday, 23 April 1883 in Dunedin, New Zealand",,"Thursday, 4 May 1967 in Wellington",83kg,Loose Forward
Joseph Michael McDonnell,"Thursday, 1 March 1973 in Hastings, New Zealand",45,,113kg,Prop
Peter McDonnell,"Thursday, 1 January 1874 in Wanganui, New Zealand",,"Wednesday, 24 May 1950 in Wanganui",,Wing three-quarter
Steven Clark McDowall,"Sunday, 27 August 1961 in Rotorua, New Zealand",57,,102kg,Prop
John Thompson McEldowney,"Sunday, 26 October 1947 in New Plymouth, New Zealand",,"Sunday, 17 June 2012 in New Plymouth",104kg,Prop
Paul William McGahan,"Monday, 12 October 1964 in Pukekohe, New Zealand",54,,,Halfback
Brian McGrattan,"Thursday, 31 December 1959 in Wellington, New Zealand",59,,105kg,Prop
Alwin John McGregor,"Monday, 16 December 1889 in Thames, New Zealand",,"Monday, 15 April 1963 in Auckland",,Wing three-quarter
Ashley Alton McGregor,"Thursday, 3 September 1953 in Gore, New Zealand",65,,93kg,Loose Forward
Duncan McGregor,"Saturday, 16 July 1881 in Kaiapoi, New Zealand",,"Tuesday, 11 March 1947 in Timaru",72kg,Wing three-quarter
Neil Perriam McGregor,"Sunday, 29 December 1901 in Lowburn, New Zealand",,"Thursday, 12 July 1973 in Hokitika",67kg,Five-eighth
Robert Wylie McGregor,"Thursday, 31 December 1874 in Thames, New Zealand",,"Saturday, 21 November 1925 in Sydney, Australia",,Centre three-quarter and fullback
Maurice James McHugh,"Monday, 19 February 1917 in Auckland, New Zealand",,"Saturday, 25 September 2010",95kg,Loose forward and lock
Donald Neil McIntosh,"Wednesday, 1 April 1931 in Lower Hutt, New Zealand",87,,94kg,Flanker
Donald William McKay,"Saturday, 7 August 1937 in Auckland, New Zealand",81,,73kg,Wing three-quarter
Brian John McKechnie,"Friday, 6 November 1953 in Gore, New Zealand",65,,79kg,First five-eighth and Fullback
Gerald Forbes McKellar,"Wednesday, 9 January 1884 in Cromwell, New Zealand",,"Saturday, 16 January 1960 in Dunedin",,Wing and loose forward
